User_ID,Description,Browser_Used,Device_Used,Is_Response
id10346,"Having stayed at many Hilton properties, I expect a friendly efficient service from what is considered a good brand.
This property was a let down. Initially, things went smoothly. Check-in was fine, as a HHonors Gold member I was informed with an apology that they did not have an Executive Floor to upgrade me to, but put me in a - bedroom suite and offered me a complimentary buffet breakfast and the usual wifi vouchers. This is where the good things ended.
The room had issues. Initially, the phone in the living room did not work. They sent someone up to fix the phone, and then some --- hours later it just started randomly producing high pitched beeps (which in turn woke me up). In addition, the guest compendium was empty (as in someone had removed the pages). It took - phone calls and - people to come up to my room to actually understand what I was requesting, and deliver a full compendium.
I also had cause to contact and visit the front desk at various stages later in the evening during my stay. To say the night staff were next to useless would be an over-statement. The night manager basically said nothing to my requests, or as little as possible. They treated me like I was putting them out of their way and disrupting them being lazy. One particular staff member was so bad I wrote a separate complaint to Hilton about them.
I also witnessed a lady in obvious distress attempting to get a room late one evening. When they informed her she was not able to get a room without photo ID she became upset and aggravated. She ranted a little bit about 'if I get murdered tonight, it'll be on your conscious' to which the night manager replied """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""That's ok Ma'am, I have no conscious"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". 
I've never seen such rude staff. Would I stay there again? Definitely not by choice.",Firefox,Mobile,not happy
id10348,"I very much wanted to stay at a boutique hotel near Times Square in lieu of a Hilton or Marriott type. After some research, hubby and I compromised on The Paramount after seeing the price of their modern chic rooms on the website. When we checked in we were both excited about the impressive lobby. Very us. BUT we were royally disappointed when we entered our King Deluxe room. Womp womp womp...
I'm normally a very flexible-laid back, go with the flow gal but this just wasn't what I was expecting at all.
The pictures seemed to be photo shopped bright and welcoming on the website. In reality, the room was entirely too small and the bathroom lacked a lot of luster. The room just seemed so dark and small. Just NOT what we had in mind for our - night NYC experience. The money spent renovating this hotel was obviously poured into the more public areas of the hotel. The closet would better be described as a compartment to store ~- jackets so our suitcases took up the little floor space we had.
We headed downstairs and explained our concerns and requested upgrade options. I inquired about their Entertainment and Couture suites displayed on their website as they are the only ones displayed. Do you know what they told me?! The available suites displayed on their website are only used for corporate events and fashion shoots. I was dumbfounded. I encouraged them to provide keys to the suite that they DO have available for purchase so that I can see it before we accept the upgrade for an additional $--- for our - nights in NYC. We saw it and it was another womp womp womp. They had simply take a wall and corned off - rooms at the end of the hallway. Even the rooms still had the heavy secure hotel door separating the bedroom from the living room AND the exit sign still existed in the cornered off wasted space in the entrance of the suite. The bedroom in the suite had a double bed. My husband and I are very tall and we by no means intend to share a double bed while paying for a suite. Desperately trying to see the positive, I looked out the window to see if our view had been upgraded. View from Times Square? It had been a bit but a partial view of lights from Times Square and the back of a billboard just wasn't worth it to me. Womp womp womp.
We headed back downstairs, handed them the suite key and stated that we will only be spending - night at The Paramount and would be checking out the following day. (Obviously, it was too late to cancel our room that night and not pay a fee, etc.) The customer service was very kind so I hadn’t the heart to share my disappointment. I'm sure it was obvious by our actions at that point.
I've attached a picture of my hubby stretching out his hands so that you get an idea of just how small the King Deluxe room is. Note our luggage covering the entire opposite side of the bed. No point in showing you the view out the window, it was the back of a building.
If you care to know:
NYC was insanely booked everywhere last week. We did manage to secure - nights at The Bowery (LOVED it, ---% guarantee that we will return) and the - other nights of our trip were spent at the Marriott on Times Square with an incredible view of Times Square.",Edge,Tablet,not happy
id10351,"We stayed at this hotel for two nights over the busy Labor Day weekend. 
We arrived at about -:--am after flying in on a red eye. Our room wasn't ready but we were told that since the housekeeping staff began at -:--am, and that the guests previously in our room had already checked out, that our room would be ready for us by --:--am. We went to breakfast and returned at --:-- and were told that our room was still not ready. We waited another ninety minutes and checked back with the front desk and were told that they would put a rush on our room with housekeeping, that they were in the process of cleaning it, and to come back in a half an hour. We did, and the room still wasn't ready. By that time we were both exhausted and perhaps the front desk person took pity on us and upgraded us to a junior suite. 
The room was quite large especially for New York hotel rooms. We had views of the street from two sides, which we enjoyed, but it was noisy. It didn't bother us, but I think it would wake up a light sleeper. The bed was comfortable and the reading lights had dimmers. The desk was large and had a power strip.
We chose this hotel over the other InterContinental in New York City because of the price, location, and previous reviewer's glowing comments. There were a few little details that just didn't compare with previous experience we've had with this hotel brand.
The furniture looked a bit shabby with scuff marks on the table and tired looking furniture, chipped paint. The bathroom had a light fixture hanging loosely from the ceiling. There was some mold on the ceiling in the shower area. There were a couple of times that I had to wait over five minutes for hot water in the bathroom and the bathroom sink had a constant drip. One of our towels had a large hole in it. I know it sounds like nit-picking, but I've become accustomed to a certain level of expectations when staying at an InterContinental hotel, and for the reasons above, the Barclay didn't meet those expectations, in my opinion.",Opera,Mobile,not happy
id10355,"The public areas are nice to look at. The staff at reception were helpful and check-in was met with a warm greeting. The staff in other areas were mostly courteous and professional but the bar staff was wooden and unhelpful. The room itself was a decent size but not big. Furnishing were comfortable enough. The internet was unbelievably slow and had to call the hotel's IT department - times to troubleshoot problems. Not acceptable as they charge $-- a day for internet service. If you use the valet service, expect to wait upwards of -- minutes whenever you want your car. Returning in the evening after dinner, waited about -- minutes to be acknowledged by a member of the valet team. The staff seemed to smile alot but lacked any substantive abilities when dealing with any issues. Had a minor problem with my booking that took far longer than necessary to resolve as the staff were dense and difficult to talk to, as though it were their first day on the job. This hotel seems a magnet for conferences but I couldn't recommend this place for business or leisure purposes. There are much better choices for the money they charge.",Firefox,Tablet,not happy
id10356,"Denver is an excellent city to visit and this hotel makes that visit all the better. Although Hampton Inn is on the lower end of the Hilton family, this particular hotel out does many higher ranked chains by providing a well managed facility with great touches like free wireless, free hot and cold breakfast and a young but highly trained staff. 
The only con about the hotel is the parking. It is costly to park any where in downtown denver but this is true for any metropolitan area. The proximity of this hotel to interesting locations nearby for fun and dining makes it worth the extra cash to have a place to park. 
Highly recommended.",Mozilla,Tablet,not happy
id10362,"I stayed here last Thursday - Sunday. I attended a business workshop on Friday, and my hubby and I stayed through the weekend for leisure. Check-in was smooth and fast, and the staff were courteous and knowledgeable. The lobby is nicely decorated in a contemporary style, but the building sure shows its age once one heads up to the guestroom floors. The woodwork outside our room was so battered looked as if someone had been hacking at it with an ax. 
On the positive side, I liked the overal design of the room, and the bedding was of nice quality. But there were some serious flaws. The bathroom cabinet was cracked so severely that some of the wood veneer had copletely fallen off. And, although I asked for a nonsmoking room, the place smelled strongly of smoke. We are not smokers and didn't spend any time with smokers during our trip, but our clothes absorbed the smell from the room. When we got home and unzipped our suitcases, the smell of smoke was extremely strong. I had to dryclean the brand new overcoat that I had just purchased that very weekend at Saks.
Other positives about this hotel are the location. It was very convienient to Magnificent Mile shopping and attractions. The cafe attached served great coffee, and I never waited more than a couple of minutes for my order. And, again, the staff were helpful and pleasant. 
Overall, the room was a good value, but the the stay would have been much more pleasant if this hotel made some basic maintenance efforts.",InternetExplorer,Desktop,not happy
id10364,"My first stay at a Kimpton property was on a Friday, for a business trip in DC. I booked a room at Donovan House with - criteria in mind: location, and value. The location of the hotel was convenient, as it was near the National Mall and government offices but also within - mile of several other points of interest. I based value on the overall perks-to-cost ratio. It's not scientific, but based on the feeling of, """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""did I get a good deal?""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
The first impressiom of the services was upon entering the parking garage. Valet parking is available on-location, but for the steep price of $---day. They may have mentioned that detail on the website, but I still think the Kimpton management could negotiate a better contract or reduce the overhead fee. Parking for one night added an extra --% to my overall cost. The lobby is crisp and decorated in modern style-color scheme with unique lucite bubble chairs. The decor didn't have much of an effect on my mood, since the mod furniture and walls were predominately upholstered in aubergine and burgundy shades of vinyl. I guess it just wasn't my taste, though the eye catching details could be perceived as young and fresh.
Upon check-in at -:-- pm, the friendly receptionist informed me that my room was not ready due to cleaning (?!) but that I could be upgraded to a suite. Softening the blow was the fact that I had arrived just before wine hour, which, according to my research is a standard Kimpton perk. Sweet. After pushing my way past a bellhop carriage stacked with supply boxes, I waited for the elevator in the narrow corridor. On the --th floor, my spacious suite greeted me with the stale smell of cigarette smoke-as though it had formerly been a smoking room (though Kimpton properties are smoke-free as the room placard informed me, this hotel recently changed management). The area rug that overlayed the carpeting was askew. This wasnt necessarily a sign of uncleanliness but probably that nobody checked the room before my arrival. The rest of the room was exceptional: crisp Sferra linens on the bed and duvet, a clean bathroom with a large soaking tub and designer shower that were consistent with the other elements. After a quiet and comfortable night's rest, I took advantage of the complimentary coffee bar in the lobby. The brew was exceptional-was encouraged to take a second cup to-go, as well as a bottle of water. Detail-oriented hospitality was top-notch, and I have no doubt that the staff would go out of their way to assist any guest. Due to time constraints, I wasn't able to enjoy the rooftop pool and bar that are features of the property. Overall rating: ----. Be sure to check AAA and government rates if you qualify.",Firefox,Desktop,not happy
id10365,I had a runaway this weekend to the Ritz and was disappointed. The room was amazingly noisy. The air conditioning didn't work--even after engineering said it was fixed the temperature kept goin up. The roll on my burger was stale and hard.... I expected so much more.,Edge,Desktop,not happy
id10372,"We booked this hotel based on the fairly good reviews, but our experience combined with the price of the room, make it a disappointment. Hotel is well located with a couple of good places to eat and a Starbuck within walking distance. The walk to the Grand Central Station is of about -- minutes. Staff was friendly, but when we ask for help to print one page with the reservation for the ---- Memorial, they referred us to a computer and printer they have in the lobby, which costs a minimum of - USD. Moreover, when we ask for help for transportation to JFK, they recommended a town car for -- USD and when we asked about the airport shuttle they did not recommend it and gave us another price than the real one, which we found weird. We ended taking the bus for -- USD each and it worked just fine. The room was large bur very worn and not very clean. There was a kitchen but no pots. I will only recommend this hotel if you get it for a very reasonable price. In a future NYC trip I will for sure stay somewhere else.",Edge,Mobile,not happy
id10377,"This is a nice hotel. I don't always like airport hotels, but this one was pretty good. The person checking us in wasn't excited to see us, but the folks at the coffee shop downstairs were really nice, as was the concierge.
The room was nice - recently re-done. Very comfortable. 
Oddly, about - floors' worth of the soda machines didn't work. We reported it to the front desk.
The parking situation was weird, since it doesn't belong to the hotel, I think. Hotel guests park on floors four through seven of the garage off to the side, but it seems to be event parking as well. We had to stalk parking spots, since it was really crowded, and some jerks in giant cars took up more than one parking spot. We could have done the valet parking, but the self-park was a great deal ($--, I think).
The workout center was in need of more ventilation (older building - window a-c units), and it is a little small, but they have what you need: cardio machines, free weights and a bench, and a multi-station weight machine. You can also purchase access to a nearby club. The sign in the workout center does suggest that before exercising, you speak with your physician and follow *his* advice. They need to update their signage, clearly.
Otherwise, really nice. I will likely stay here again.",Firefox,Tablet,not happy
id10383,"horrible hotel staff. treated me with a disgusting & demeaning attitude. THEY WILL NOT ONLY BE REPORTED TO CHOICE (and I'm elite diamond), but I WILL NEVER, EVER GO NEAR THIS HOTEL AGAIN. I left saying my stay was """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""just ok."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" I would rather report them to their franchise than deal with them as they clearly don't care about their guests. Ironically, their horrible way of manging this hotel and dealing with guests surely has got to hurt their business. Treating your guests with respect makes them want to return and spend more $$$$$$$$ duh!!! I cannot recommend this hotel based on my experience here. Their rooms are disgusting and have bed bugs.",Firefox,Mobile,not happy
id10387,"Housekeeping was just mediocre. We asked for an additional bath towel and hung it up for reuse. It was taken away the next day and not replaced. In the middle of the day when I was napping, the housekeeping staff knocked on the door, opened it and walked in before I could answer to """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""see if the cleaning was ok."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" We were placed in a handicapped room (the only room available). After midnight of the first night a strobel light and loud beeper for the phone kept sounding, though we had no phone call. The desk couldn't explain it and said they'd have to call engineering and it would take a while. We had to disconnect the wire so we could get some sleep.
Internet charge was ridiculous but you could get an hour free in the lobby.",IE,Mobile,not happy
id10390,"My family and I were guests in rooms --- & --- on October - & -, ----. At approximately --:-- am on October -, I slipped and fell in front of the vending machine on the -nd floor. I slipped on a large puddle of water that had accumulated from a leak that commenced at the ice machine. I landed on my right hip and elbow and pulled a muscle. I immediately filed an incident report with Ashlee Easterling and suggested that a mat be placed in that area. When we left on Sunday morning, water was still puddling in that area and occasionally, wet towels were being replaced by dry ones. My family and I took pictures of the puddles that kept accumulating during our stay. I was very lucky that I did'nt suffer more severe injuries, and the staff were not proactive in preventing another accident. While I was in line waiting to voice my concerns, the manager on duty, I believe his name was Jesse was arguing with two guests. Jesse was not successful in calming the guests and was saracastic. When I spoke with Jesse about getting a a copy of the incident report, he was again sarcastic and snobbish. Guests should BEWARE of leaking ice machines!",Firefox,Desktop,not happy
id10391,"I was in town for business and had chosen the Hyatt because all of the good hotels in Center City were full. I prepaid for my hotel room a week and a half in advance to hold it for late arrival, but when I arrived, I was sent to a hospitality suite with only a sofa bed. The brand-new alarm clock on the bar- with the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""--:--"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" sticker still on it- was also a particuarly classy touch. Not only had the front desk employee not told me that I was being sent to such a room, but she ignored me when I called down to complain. Twenty minutes later, the night concierge told me that this happens often, since the Hyatt apparently overbooks its guest rooms fairly frequently, and that my (furious) reaction to my """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""guest room"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" was typical. I would have expected such policies and customer service of a Motel -, not a Hyatt Regency.",Firefox,Desktop,not happy
id10399,"I stayed for over a week at the Affinia Shelbourn. It was terrible, rundown and the service was the worst. The concierge tried to rip me off on a ride to the airport and when I questioned her overpriced quote, she told me that if I didn't like it, go ask the doorman for advice on car services.
One elevator was out of service, yet they didn't tell me that when I made the reservations. I had this problem once before during holiday time with a NY hotel, so had I have known, I would have made other accommodations.
One night, there were dirty towels or something left in the sink by the housekeeper that day, who obviously was in so much of a rush, she left the items in the sink. Disgusting.
When I made reservations and then when I checked in, I asked for a room with a view. My view was the back alley next door. Bait and switch.
The hotel room and whole hotel is shabby. I tried to move out to another hotel the day I checked in, but being Thanksgiving week, it was hard to find other accommodations since the city is full. I got a survey from Affinia a week later, when I told them of the rude staff, rude concierge and lack of services they said they would make it up to me. They lied, They gave me nothing and ignored the problem. I will avoid all Affinia Hotel's in the future. They don't care about the guests at all.",Internet Explorer,Mobile,not happy
id10402,"This hotel is disgusting. It was booked via my business, but otherwise I would have checked out on the first night. From the beginning the tone was set by the rude guy at valet. The restaurants were dingy and the rooms felt like old NYC style apartments. Ripped wall paper, terrible springy mattresses, gross bathroom, very loud AC unit. I asked to be switched to a different room because I didn't even feel safe in the one that I was in. The second room was larger, but not any better. I would never stay here again, not even if the room was free. It's spooky and feels like there are ghosts here. I can't wait to go home!",Firefox,Mobile,not happy
id10403,"This is a very old hotel. If you consider its central location, nice lobby and friendly stuff, you get the idea that this property was comfortable and stylish at the time. But now it badly needs the renovation. I don’t mind the tiny size of the room, I even liked the design, but the wallpaper were dirty and torn in several places, the bathroom was so outdated that I even had to ask for a housekeeper to show me how to use a plug, which was no way automatic! Whenever you look, you see very outdated details.
Another bad thing about the hotel is the fact that you can hear almost everything that is going on next door! And I mean EVERYTHING! You hear when people get up, go to the bathroom, whisper!! One night I was even fricked out because I thought someone was trying to come in to my room, although in reality my neighbour attempted to come in next door.
I didn’t try breakfast which was not included in the room price, but there’s a Starbucks just in the same building – no problem with that.
All and all, I wouldn’t recommend the hotel, although it is a pity, because the stuff is really trying their best and the location is very convenient.",Edge,Tablet,not happy
id10406,"This hotel was without doubt the worst hotel I have ever had the misfortune to stay in. Not quite sure where to start here ... but I will try. 
-) on arrival the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""receptionist"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" was to say the least rude, 
-) the room had no on suite bathroom, 
-) there were no working locks on the shower or toilet rooms 
-) we were told we had to pay cash the night before we checked out (funnily enough were were only there for one night).",Firefox,Mobile,not happy
id10408,"We were not staying at the Swisshotel but used their valet parking while we had lunch at the Palm. When we got the car back it was obvious someone had driven the car further than just to the garage and back. First we told them we were just having a quick lunch but they took the car away and we had to wait forever to get it back. Then we noticed that the car had played through - CDs we had loaded in the CD player, which doesn't happen when the car is parked and off. And our car is two years old, it isn't even a new hot car. We didn't bother to complain because i am sure we would just encounter denials and attitude. All I can say is don't trust them, and make sure you make a note of the odometer reading if you must use their valet.",Edge,Desktop,not happy
id10409,"The room was upscale, the facilities upscale, but the hotel was populatednot so much by guests, but rather by roving patrons of the lobby and upstairs bars. The scene is very hot in the bars, but the hotel needs to keep non-guests off the other floors.
During the day the place is calm, but after work and at night it is a party place for the singles scene.",Firefox,Desktop,not happy
id10413,"The room was smelly! Although we asked for a non-smoking room, I could smell the lingering, musty odor of cigarette smoke.
The hotel was very very very noisy!
The continental breakfast was a shame!
We will NOT be coming back to the Town House again.",Edge,Mobile,not happy
id10419,"This Residence Marriott is not fancy. It was clean, good service and suite style rooms; however, it's a little older than some Residence Marriotts's I've stayed at and probably could use an update soon. There was nothing wrong with the hotel, it was a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""good value"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" in the area, but if you're looking for something a bit upscale there are other hotels that will suit better. For the money, it was fine.
There was a bit of noise at night from loud music and garbage trucks that kept me awake. A free breakfast in the lobby was standard free hotel breakfast grade - nothing special but overall ok. Although the location isn't prime on the Riverwalk, it's a - minute walk to all the sights downtown and easy to walk everywhere.",Edge,Desktop,not happy
id10422,The hotel is the closest to the LA convention center. The room are extremely small and the walls are paper thin...all we did was listen to crying kids all night in the room next door! The room was clean and well stocked. Nice decor,Firefox,Desktop,not happy
